date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-03-06,1,0,1,0,0,Peru,PE
2020-03-07,0,0,1,0,0,Peru,PE
2020-03-08,5,0,6,0,0,Peru,PE
2020-03-09,1,0,7,0,0,Peru,PE
2020-03-10,4,0,11,0,0,Peru,PE
2020-03-11,0,0,11,0,0,Peru,PE
2020-03-12,4,0,15,0,0,Peru,PE
2020-03-13,13,0,28,0,0,Peru,PE
2020-03-14,10,0,38,0,0,Peru,PE
2020-03-15,5,0,43,0,0,Peru,PE
2020-03-16,43,0,86,0,0,Peru,PE
2020-03-17,31,0,117,1,0,Peru,PE
2020-03-18,28,0,145,1,0,Peru,PE
2020-03-19,89,0,234,1,0,Peru,PE
2020-03-20,0,3,234,1,3,Peru,PE
2020-03-21,84,2,318,1,5,Peru,PE
2020-03-22,45,0,363,1,5,Peru,PE
2020-03-23,32,0,395,1,5,Peru,PE
2020-03-24,21,2,416,1,7,Peru,PE
2020-03-25,64,2,480,1,9,Peru,PE
2020-03-26,100,0,580,14,9,Peru,PE
2020-03-27,55,2,635,16,11,Peru,PE
2020-03-28,36,5,671,16,16,Peru,PE
2020-03-29,181,2,852,16,18,Peru,PE
2020-03-30,98,6,950,53,24,Peru,PE
2020-03-31,115,6,1065,394,30,Peru,PE
2020-04-01,258,8,1323,394,38,Peru,PE
2020-04-02,91,17,1414,1,55,Peru,PE
2020-04-03,181,6,1595,1,61,Peru,PE
2020-04-04,151,12,1746,1,73,Peru,PE
2020-04-05,535,10,2281,1,83,Peru,PE
2020-04-06,280,9,2561,1,92,Peru,PE
2020-04-07,393,15,2954,1,107,Peru,PE
2020-04-08,1388,14,4342,1,121,Peru,PE
2020-04-09,914,17,5256,1,138,Peru,PE
2020-04-10,641,31,5897,1,169,Peru,PE
2020-04-11,951,12,6848,1,181,Peru,PE
2020-04-12,671,12,7519,1,193,Peru,PE
2020-04-13,2265,23,9784,1,216,Peru,PE
2020-04-14,519,14,10303,1,230,Peru,PE
2020-04-15,1172,24,11475,1,254,Peru,PE
2020-04-16,1016,20,12491,1,274,Peru,PE
2020-04-17,998,26,13489,1,300,Peru,PE
2020-04-18,931,48,14420,1,348,Peru,PE
2020-04-19,1208,52,15628,1,400,Peru,PE
2020-04-20,697,45,16325,1,445,Peru,PE
2020-04-21,1512,39,17837,1,484,Peru,PE
2020-04-22,1413,46,19250,1,530,Peru,PE
2020-04-23,1664,42,20914,1,572,Peru,PE
2020-04-24,734,62,21648,1,634,Peru,PE
2020-04-25,3683,66,25331,1,700,Peru,PE
2020-04-26,2186,28,27517,1,728,Peru,PE
2020-04-27,1182,54,28699,1,782,Peru,PE
2020-04-28,2491,72,31190,1,854,Peru,PE
2020-04-29,2741,89,33931,1,943,Peru,PE
2020-04-30,3045,108,36976,1,1051,Peru,PE
2020-05-01,3483,73,40459,1,1124,Peru,PE
2020-05-02,2075,76,42534,1,1200,Peru,PE
2020-05-03,3394,86,45928,1,1286,Peru,PE
2020-05-04,1444,58,47372,1,1344,Peru,PE
2020-05-05,3817,100,51189,1,1444,Peru,PE
2020-05-06,3628,89,54817,1,1533,Peru,PE
2020-05-07,3709,94,58526,1,1627,Peru,PE
2020-05-08,3321,87,61847,1,1714,Peru,PE
2020-05-09,3168,100,65015,1,1814,Peru,PE
2020-05-10,2292,75,67307,1,1889,Peru,PE
2020-05-11,1515,72,68822,1,1961,Peru,PE
2020-05-12,3237,96,72059,1,2057,Peru,PE
2020-05-13,4247,112,76306,1,2169,Peru,PE
2020-05-14,4298,98,80604,1,2267,Peru,PE
2020-05-15,3891,125,84495,1,2392,Peru,PE
2020-05-16,4046,131,88541,1,2523,Peru,PE
2020-05-17,3732,125,92273,1,2648,Peru,PE
2020-05-18,2660,141,94933,1,2789,Peru,PE
2020-05-19,4550,125,99483,1,2914,Peru,PE
2020-05-20,4537,110,104020,1,3024,Peru,PE
2020-05-21,4749,124,108769,1,3148,Peru,PE
2020-05-22,2929,96,111698,1,3244,Peru,PE
